spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief,recharge_temp_max,recharge_temp_min,recharge_temp_best,rch_elev_max,rch_elev_min,rch_elev_best,circulation_temp_best,circulation_temp_min,circulation_temp_max,circ_depth_best,circ_depth_min,circ_depth_max,h_circ_depth,H_down_min,Hv_down_min,H_up_min,Hv_up_min,H_net_min,Hv_net_min,H_down_best,Hv_down_best,H_up_best,Hv_up_best,H_net_best,Hv_net_best,H_down_max,Hv_down_max,H_up_max,Hv_up_max,H_net_max,Hv_net_max,thermal_footprint_net_min,thermal_radius_net_min,thermal_footprint_net_best,thermal_radius_net_best,thermal_footprint_net_max,thermal_radius_net_max,thermal_footprint_down_min,thermal_radius_down_min,thermal_footprint_down_best,thermal_radius_down_best,thermal_footprint_down_max,thermal_radius_down_max,thermal_footprint_up_min,thermal_radius_up_min,thermal_footprint_up_best,thermal_radius_up_best,thermal_footprint_up_max,thermal_radius_up_max,Hv_ratio_min,Hv_ratio_best,Hv_ratio_max,flow_rate_est
20,Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,11.77885556,45.28444444,spring,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,,,1.6893088591236205,POINT (11.77885556 45.28444444),0.08047669739646204,1.0,3.2531089782714844,4.7468910217285165,13.399999976158142,4.0,,,,171900000.0,0.0999584532245277,0.07444911900344629,0.13177547180496696,6.277167052010608,-0.0,151.03392028808594,8.324923380121161,-1.2428001165390017,248.3455352783203,13.241203695727046,12.26250008059045,13.524999879921474,17.040701522170743,0.0,464.0,464.0,13.399999976158142,12.26250008059045,12.831250028374296,464.0,4.0,234.0,,,,,,,126.17276763916016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011078630375995852
31,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,11.64996667,45.28694444,spring,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,1.5390760987927767,POINT (11.64996667 45.28694444),0.07736626089841897,6.0,3.2570505142211914,30.222103118896484,13.520833320915699,71.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.520833320915699,11.583333277764421,12.55208329934006,578.0,71.0,324.5,,,,,,,264.7476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011078630375995852
32,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,11.6483,45.285,spring,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,1.4814426285023048,POINT (11.6483 45.285),0.07736626089841897,1.0,3.2570505142211914,17.742950439453125,13.520833320915699,29.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.520833320915699,11.583333277764421,12.55208329934006,578.0,29.0,303.5,,,,,,,243.7476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011078630375995852
33,Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,11.64552222,45.29583333,spring,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,1.3263358609287514,POINT (11.64552222 45.29583333),0.07736626089841897,7.0,13.895832061767578,23.104167938232425,13.433333387598395,44.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.433333387598395,11.583333277764421,12.508333332681408,578.0,44.0,311.0,,,,,,,251.2476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011078630375995852
45,Acqui (comment Jacek: general area?),23,8.45300523,44.6916766,springs and shallow wells,,0.0162,,,,45.0,73.0,,,,,,,,118.0,3372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,0.0162,-1.790484985457369,1.7708520116421442,POINT (8.45300523 44.6916766),0.29146294813996604,6.0,48.89618682861328,232.10382080078125,12.399999973674614,266.0,1754024.3906216722,6.24403562816272,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0,12.399999973674614,11.012499943375587,11.7062499585251,733.0,266.0,499.5,,,,,,,454.613525390625,,44241.73531787109,,29974.838682128906,3082330.423783204,74216.574,,7133.448317871093,,29974.838682128906,3166431.2971843877,37108.287,,-29974.838682128906,,29974.838682128906,3250532.170585571,0.0,40556979.260305315,3593.005350998819,41663569.699794576,3641.69275600675,42770160.13928383,3689.737769272762,,,,,,,,,,,,,0.023511949624739053,0.011583526916040173,0.0,0.0162
66,Bormio - Central Italian Alps,Arciduchessa,10.359474,46.492436,spring,,0.006670000000000001,,,,36.0,39.0,,,,,7.9,39.2,,,,20.7,213.8,,3.03,,14.2,2.46,673.0,,,,,,,,,,,,,,,,,,,,37.5,0.006670000000000001,-2.175874166083451,1.5740312677277188,POINT (10.359474 46.492436),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,382625.13769627135,5.582773498896066,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,,68667.3773458374,,57356.0028541626,814426.0777895618,126023.38020000001,,5655.687245837403,,57356.0028541626,982835.9724000001,63011.69010000001,,-57356.0028541626,,57356.0028541626,1045847.6625000001,0.0,10716132.602494234,1846.9030697441456,12932052.268421054,2028.891343981717,13761153.45394737,2092.9192984163687,,,,,,,,,,,,,0.13400335247085524,0.06024939612082367,0.0,0.006670000000000001
67,Bormio - Central Italian Alps,Zampillo dei Bambini,10.35926,46.49255,spring,,0.0025,,,,35.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,0.0025,-2.6020599913279625,1.5622928644564746,POINT (10.35926 46.49255),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,143412.72027596377,5.156587673651557,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,,25737.397805786135,,21497.752194213866,294803.90059578774,47235.15,,2119.822805786133,,21497.752194213866,357926.05,23617.575,,-21497.752194213866,,21497.752194213866,381543.625,0.0,3878998.6920498386,1111.1811878237756,4709553.2894736845,1224.3763194168962,5020310.855263158,1264.1260130802088,,,,,,,,,,,,,0.13809870515580747,0.06190006450769555,0.0,0.0025
68,Bormio - Central Italian Alps,Cassiodora,10.35956,46.492495,spring,,0.00417,,,,39.0,43.0,,,,,7.8,40.5,,,,30.6,219.4,,7.28,,12.78,2.4,725.0,,,,,,,,,,-13.61,-101.5,3.9,,,,,,,,41.0,0.00417,-2.3798639450262424,1.6127838567197357,POINT (10.35956 46.492495),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,239212.41742030758,5.378783719953276,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,,42929.979540051274,,35858.25065994873,570195.000693774,78788.2302,,3535.8644400512694,,35858.25065994873,675482.7459,39394.1151,,-35858.25065994873,,35858.25065994873,714876.861,0.0,7502565.7986022895,1545.361079307841,8887930.867105262,1681.9976999739554,9406274.486842105,1730.3497222585395,,,,,,,,,,,,,0.12140256704552066,0.05510615498855823,0.0,0.00417
69,Bormio - Central Italian Alps,Cinglaccia,10.358343,46.492144,spring,,0.018000000000000002,,,42.0,37.0,,,,,,7.6,39.0,,,,21.44,223.4,,3.06,,14.2,2.55,690.0,,,,,,,,,,-13.97,-95.36,,,,,,,,,42.0,0.018000000000000002,-1.7447274948966942,1.6232492903979006,POINT (10.358343 46.492144),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1347.0,1032571.5859869393,6.013920170082826,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1347.0,2332.0,,,,,,,2245.5648193359375,,189194.02420166018,,158668.57579833985,2528767.264289672,347862.60000000003,,15262.724201660158,,158668.57579833985,2987131.5000000005,173931.30000000002,,-158668.57579833985,,158668.57579833985,3161062.8000000003,0.0,33273253.477495685,3254.4132385709822,39304361.84210527,3537.084526059146,41592931.57894737,3638.604308927385,,,,,,,,,,,,,0.12092713223843901,0.05502304478101479,0.0,0.018000000000000002
70,Bormio - Central Italian Alps,Nibelunghi,10.357372,46.49282,spring,,0.00067,,,,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.00067,-3.1739251972991736,1.5563025007672873,POINT (10.357372 46.49282),0.5501185658300547,1.0,110.08182525634766,1447.918212890625,4.487499934931597,1347.0,38434.60903395829,4.584722467680344,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,4.487499934931597,0.0,0.0,3317.0,1347.0,2332.0,,,,,,,2245.5648193359375,,7042.222011950684,,5905.996988049316,75333.13606978724,12948.219000000001,,568.1125119506836,,5905.996988049316,94378.8465,6474.1095000000005,,-5905.996988049316,,5905.996988049316,100852.956,0.0,991225.4746024638,561.7088818980737,1241826.9276315789,628.7175741096906,1327012.5789473685,649.9240132270813,,,,,,,,,,,,,0.14666991676514607,0.06419355224451725,0.0,0.00067
