spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
11,Euganei (Euganean geothermal area - Abano Terme,Salvagnini,11.78746667,45.34444444,well,,,,,85,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7,,5708,,,1540,404,70,101,n/a,2550,n/a,840,137,n/a,n/a,n/a,n/a,66,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.8,-78.7,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
12,Euganei (Euganean geothermal area - Abano Terme,Giacon 11,11.7633,45.35166667,well,248,,,,77,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Euganei (Euganean geothermal area - Abano Terme,Menegolli 11,11.7944111,45.35805556,well,405,,,,86,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,n/a,7.4,,5970,,,1620,416,71,105,n/a,2720,n/a,845,125,n/a,n/a,n/a,n/a,68,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-83.4,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
14,Euganei (Euganean geothermal area - Abano Terme,Monteortone 1,11.75718889,45.34777778,well,246,0.00007,,,70,,,Yuhara (1963),https://doi.org/10.4401/ag-5228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Euganei (Euganean geothermal area - Abano Terme,Ottaviana 3,11.78274444,45.34333333,well,333,,,,73,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,n/a,7.1,,4322,,,1090,370,65,61,n/a,1770,n/a,740,173,n/a,n/a,n/a,n/a,53,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.8,-79.7,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
16,Euganei (Euganean geothermal area - Abano Terme,Soj,11.78357778,45.35722222,well,372,,,,82,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,n/a,7.3,,5096,,,1280,404,63,71,n/a,2210,n/a,838,165,n/a,n/a,n/a,n/a,65,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.6,-76.3,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
17,Euganei (Euganean geothermal area - Abano Terme,Strada Marzia,11.77968889,45.34388889,well,410,,,,70,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Euganei (Euganean geothermal area - Abano Terme,Terme 1,11.78413333,45.34944444,well,270,,,,85.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Euganei (Euganean geothermal area - Abano Terme,Vena D'Oro 10,11.79191111,45.3525,well,425,,,,73.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,n/a,6.8,,6044,,,1650,400,72,107,n/a,2750,n/a,861,136,n/a,n/a,n/a,n/a,68,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-84.8,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
20,Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,11.77885556,45.28444444,spring,,,,,48.9,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
