Name,"Discharge (L/s)",Temperature,"Air Temperature","Delta T",Precip,Source,State,"Log Discharge",Latitude,Longitude,"Approx Heat Flow (W)","Corrected Heat Flow","Log approx heat flow","Crustal Heat Flow (mW/m2)","Heat Flow Area (m2)","Heat Flow Area (km2)","Precip Area (m2)",hfa/pa
"Bumpass Hell",6.66666666666667,93,11.1,81.9,1045,"Youngs 1994",California,0.82390874094432,40.4575,-121.5,2315146.66666667,2284464,6.36457850917961,87.9,25989351.5358362,25.9893515358362,201186.602870813,129.180328933356
"Growler Hot Spring",0.63333333333333,95,12.9,82.1,1037,"Youngs 1994",California,-0.19836765376683,40.3942,-121.5078,225238.666666667,217554.053333333,5.35264294780668,87.9,2475017.67159651,2.47501767159651,19260.1735776278,128.504432300207
"Hot Creek Springs",250,88,5.1,82.9,662,"Youngs 1994",California,2.39794000867204,37.6645,-118.8275,81588000,86713400,7.91162628722174,81.8,1060066014.66993,1060.06601466993,11909365.5589124,89.0111240121121
"Morgan Hot Springs",5.38333333333333,96,12.9,83.1,1037,"Youngs 1994",California,0.73105127194746,40.3837,-121.5133,1937052.53333333,1871733.32,6.28714139905024,87.9,21293894.4254835,21.2938944254835,163711.475409836,130.069650720429
"Kelly Hot Spring",20.8333333333333,92,8.2,83.8,450,"Youngs 1994",California,1.31875876262441,41.454,-120.8347,7147666.66666667,7304566.66666667,6.85416429086735,72.3,101031350.852928,101.031350852928,1460000,69.1995553787175
"Unnamed Springs",4.16666666666667,86,0.5,85.5,784,"Youngs 1994",California,0.61978875828839,37.9958,-119.0233,1324933.33333333,1490550,6.1221940264284,54.7,27249542.9616088,27.2495429616088,167602.040816327,162.584792099705
"Terminal Geyser",0.5,96,7.8,88.2,1131,"Youngs 1994",California,-0.30102999566398,40.4213,-121.3767,179912,184514.4,5.2550601314388,87.9,2099139.93174061,2.09913993174061,13941.6445623342,150.566163292658
"Amedee Hot Springs",114,95,6.4,88.6,547,"Youngs 1994",California,2.05690485133647,40.3042,-120.1958,40542960,42260073.6,7.60791545290998,58.9,717488516.129032,717.488516129032,6572402.19378428,109.166860909331
"Wendel Hot Springs",20,96,6.8,89.2,654,"Youngs 1994",California,1.30102999566398,40.3558,-120.2555,7196480,7464256,6.85712012276677,58.9,126727606.112054,126.727606112054,964403.669724771,131.405147129128
"Unnamed Spring",10,98,7.6,90.4,383,"Youngs 1994",California,1,41.5297,-120.087,3681920,3782336,6.56607434800939,32.8,115315121.95122,115.31512195122,823394.255874674,140.04848968581
"Benmac Hot Springs",11.6666666666667,98,5,93,468,"Youngs 1994",California,1.06694678963061,41.5305,-120.0822,4295573.33333333,4539640,6.63302113764,32.8,138403658.536585,138.403658536585,786153.846153846,176.051620447711
Vermillion,3.78333333333333,19.4,0,19.4,654,"Geological Survey of Canada",CANADA,0.57787460680948,51.11,-115.38,148796.986666667,307091.653333333,5.1725941362684,93.5,3284402.70944741,3.28440270944741,182433.027522936,18.0033339030922
Vermillion,7.56666666666667,22,0,22,654,"Geological Survey of Canada",CANADA,0.87890460247346,51.11,-115.38,379907.2,696496.533333333,5.5796775243803,93.5,7449160.78431373,7.44916078431373,364866.055045871,20.4161518488674
"Albert Canyon",7.56666666666667,26,2.9,23.1,1032,"Geological Survey of Canada",CANADA,0.87890460247346,51.08,-117.45,506542.933333333,731321.36,5.7046162609886,72.3,10115094.8824343,10.1150948824343,231223.255813953,43.7460100923979
"Elwyn Creek",3.93466666666667,25,0,25,716,"Geological Survey of Canada",CANADA,0.59490794610826,57.48,-130.46,246939.68,411566.133333333,5.39259088102316,40.8,10087405.2287582,10.0874052287582,173301.184357542,58.2073646302763
"Flores Island",0.18916666666667,25,0,25,,"Geological Survey of Canada",CANADA,-0.7231553888545,49.16,-126.04,11872.1,19786.8333333333,4.0745275460604,54.5,363061.162079511,0.36306116207951,#DIV/0!,#DIV/0!
"Wildhorse River",7.56666666666667,28,2.6,25.4,755,"Geological Survey of Canada",CANADA,0.87890460247346,49.48,-115.3,569860.8,804136.906666667,5.75576878343598,70.6,11390041.170916,11.390041170916,316056.158940397,36.0380294726796
Gal,0.49183333333333,27.5,0,27.5,336,"Geological Survey of Canada",CANADA,-0.30818204088368,65.3,127.84,36012.0366666667,56590.3433333333,4.55644768366183,69.5,814249.544364508,0.81424954436451,46162.0714285714,17.6389299519289
"Crawford Creek",0.227,32,3.2,28.8,820,"Geological Survey of Canada",CANADA,-0.64397414280688,49.4,-116.47,20894.896,27353.3184,4.32004021387455,82.6,331153.975786925,0.33115397578692,8730.08780487805,37.9324908509956
Atlin,45,29,0,29,713,"Geological Survey of Canada",CANADA,1.65321251377534,59.24,-133.35,3577320,5460120,6.55355779058739,137.4,39738864.628821,39.738864628821,1990350.63113604,19.9657608097619
"Clear Creek",1.89166666666667,35,5.6,29.4,1539,"Geological Survey of Canada",CANADA,0.2768446111455,49.41,-121.45,197868.333333333,232693.16,5.29637629567675,37,6289004.32432432,6.28900432432432,38762.5730994152,162.24424287301
"Cave ",18.9166666666667,29.5,0,29.5,654,"Geological Survey of Canada",CANADA,1.2768446111455,51.1,-115.35,1543373,2334846.33333333,6.18847089836723,93.5,24971618.5383244,24.9716185383244,912165.137614679,27.3762036155267
"Wilson Lake",0.52966666666667,30,0.2,29.8,811,"Geological Survey of Canada",CANADA,-0.27599735751228,50.13,-117.36,44322.5066666667,66040.5349333333,4.64662431401092,72.3,913423.719686492,0.91342371968649,20596.261405672,44.3490059528446
Roche-qui-trempe-à-l'eau,0.83233333333333,31,0,31,362,"Geological Survey of Canada",CANADA,-0.07970271236831,63.17,-123.37,73132.136,107956.962666667,4.86410825822482,78.1,1382291.45539906,1.38229145539906,72509.5690607735,19.0635728953306
"Cave and Basin",11.35,32,0,32,654,"Geological Survey of Canada",CANADA,1.05499586152914,51.1,-115.35,1044744.8,1519628.8,6.01901021821057,93.5,16252714.4385027,16.2527144385027,547299.082568807,29.6962208710799
"Deer River",75.6666666666667,32,0,32,486,"Geological Survey of Canada",CANADA,1.87890460247346,59.3,-126,6964965.33333333,10130858.6666667,6.84291895915488,83.5,121327648.702595,121.327648702595,4909925.92592593,24.7106882126159
"Ram Creek",3.178,34.6,1.7,32.9,689,"Geological Survey of Canada",CANADA,0.50215389287136,50.02,-115.35,327100.0992,437463.1408,5.51468067583396,82.6,5296163.93220339,5.29616393220339,145459.227866473,36.4099549398481
Middle,3.78333333333333,33.5,0,33.5,654,"Geological Survey of Canada",CANADA,0.57787460680948,51.1,-115.34,371992.466666667,530287.133333333,5.57053414494043,93.5,5671520.14260249,5.6715201426025,182433.027522936,31.0882312244117
Basin,11.35,34.5,0,34.5,654,"Geological Survey of Canada",CANADA,1.05499586152914,51.1,-115.35,1163465.8,1638349.8,6.06575362175289,93.5,17522457.7540107,17.5224577540107,547299.082568807,32.016238126633
"Elwyn Creek",0.1,36,0,36,716,"Geological Survey of Canada",CANADA,-1,57.48,-130.46,10878.4,15062.4,4.03656502383004,40.8,369176.470588235,0.36917647058824,4404.46927374302,83.8186050675978
Nascall,0.7945,43.4,5.3,38.1,2480,"Geological Survey of Canada",CANADA,-0.0999060984566,52.28,-127.16,111027.8792,126651.5628,5.04543204421418,70,1809308.04,1.80930804,10102.964516129,179.086844966297
"Kleklane Inlet",4.54,45,6.7,38.3,2771,"Geological Survey of Canada",CANADA,0.6570558528571,53.15,-128.4,664837.6,727522.288,5.8227155730666,84,8660979.61904762,8.66097961904762,51668.5095633345,167.625884552197
"Bishop Bay",1.135,44.5,6.1,38.4,2679,"Geological Survey of Canada",CANADA,0.05499586152914,53.28,-128.5,163834.98,182355.456,5.21440663246163,84,2170898.28571429,2.17089828571429,13360.7166853303,162.483670363122
"Shearwater Point",8.32333333333333,45,6.2,38.8,2647,"Geological Survey of Canada",CANADA,0.92029728763169,53.27,-128.34,1218868.93333333,1351203.27466667,6.08595700784118,84,16085753.2698413,16.0857532698413,99163.067623725,162.215163924525
Kidney,1.51333333333333,39,0,39,654,"Geological Survey of Canada",CANADA,0.17993459813744,51.09,-115.34,183621.813333333,246939.68,5.26392427189562,93.5,2641066.09625668,2.64106609625668,72973.2110091743,36.1922691866286
Frizzell,15.7386666666667,46,5.4,40.6,2310,"Geological Survey of Canada",CANADA,1.19696793743622,54.13,-129.55,2370620.928,2673533.60213333,6.37486211406273,71.8,37235844.0408542,37.2358440408542,214863.45974026,173.30003010222
"West Cantung",1.05933333333333,41,0,41,558,"Geological Survey of Canada",CANADA,0.0250326381517,61.55,-128.15,137399.770666667,181722.277333333,5.13798600784519,81.8,2221543.73268134,2.22154373268134,59869.4193548387,37.1064853579842
Lussier,3.78333333333333,43,1.7,41.3,689,"Geological Survey of Canada",CANADA,0.57787460680948,50.08,-115.35,522372.4,653756.973333333,5.71798022254658,93.5,6992053.19073084,6.99205319073084,173165.747460087,40.3778073509742
"Weewannie Creek",1.135,47.5,5.6,41.9,2546,"Geological Survey of Canada",CANADA,0.05499586152914,53.42,-128.47,178081.5,198976.396,5.25061880511608,84,2368766.61904762,2.36876661904762,14058.6645718775,168.491580899229
"Upper Hot",9.83666666666667,42,0,42,654,"Geological Survey of Canada",CANADA,0.9928479547803,51.09,-115.34,1317011.62666667,1728577.76,6.11958960895942,93.5,18487462.6737968,18.4874626737968,474325.871559633,38.9762898932923
"Mess Creek",0.59776666666667,43,0.2,42.8,898,"Geological Survey of Canada",CANADA,-0.2234683062361,57.25,-130.55,82534.8392,107045.185386667,4.91663730950101,40.8,2623656.50457516,2.62365650457516,20992.3937639198,124.981292466251
"Larsen South",30,43,0,43,486,"Geological Survey of Canada",CANADA,1.47712125471966,60.12,-125.3,4142160,5397360,6.61722687045677,77.1,70004669.2607004,70.0046692607004,1946666.66666667,35.9613027024146
Radium,23.6836666666667,43,0,43,762,"Geological Survey of Canada",CANADA,1.37444894001991,50.38,-116.02,3270051.224,4260975.83733333,6.51455455575701,93.5,45571934.0891266,45.5719340891266,980168.125984252,46.4939971837635
Ainsworth,4.54,47,3.8,43.2,765,"Geological Survey of Canada",CANADA,0.6570558528571,49.44,-116.54,702828.32,820599.552,5.84684925278332,82.6,9934619.27360775,9.93461927360775,187154.823529412,53.0823576238018
Takhini,3.02666666666667,43.5,0,43.5,370,"Geological Survey of Canada",CANADA,0.48096459380142,60.52,-135.22,424229.706666667,550865.44,5.62760107669749,74.7,7374370.01338688,7.37437001338688,257970.162162162,28.5861355110956
"Taweh Creek",0.75666666666667,43.5,0,43.5,716,"Geological Survey of Canada",CANADA,-0.12109539752654,57.42,-130.47,106057.426666667,137716.36,5.02554108536952,40.8,3375400.98039216,3.37540098039216,33327.1508379888,101.280814456681
Ainsworth,7.86933333333333,47.5,3.8,43.7,765,"Geological Survey of Canada",CANADA,0.89593794177224,49.44,-116.54,1234698.4,1438835.20213333,6.09156088535918,82.6,17419312.3744956,17.4193123744956,324401.694117647,53.6967367629662
Fairmont,7.86933333333333,48.9,4.7,44.2,537,"Geological Survey of Canada",CANADA,0.89593794177224,50.2,-115.54,1280793.80693333,1455297.84746667,6.10747921895717,93.5,15564682.8606061,15.5646828606061,462136.491620112,33.6798394907984
"Grizzly Bear",3.10233333333333,44.5,0,44.5,569,"Geological Survey of Canada",CANADA,0.4916884591932,62.4,-127.55,447815.612,577617.238666667,5.65109923012569,77.2,7482088.58376511,7.48208858376511,171942.326889279,43.5151060191429
"Broken Skull",36.093,45,0,45,581,"Geological Survey of Canada",CANADA,1.55742298151357,62.45,-128.08,5285458.92,6795590.04,6.72308270172307,77.2,88025777.7202073,88.0257777202073,1959085.79690189,44.932068753401
"Taweh Creek",0.3,46,0,46,716,"Geological Survey of Canada",CANADA,-0.52287874528034,57.42,-130.47,45187.2,57739.2,4.65501543134617,40.8,1415176.47058824,1.41517647058824,13213.407821229,107.101550919708
"Skookumchuck ",1.05933333333333,54,7.9,46.1,1586,"Geological Survey of Canada",CANADA,0.0250326381517,49.59,-122.28,195019.029333333,204326.755733333,5.2900769904971,35.8,5707451.27746741,5.70745127746741,21063.7679697352,270.96060332928
Hole-in-the-wall,3.10233333333333,47,0,47,540,"Geological Survey of Canada",CANADA,0.4916884591932,61.42,-127.17,480266.018666667,610067.645333333,5.68148185911941,76,8027205.85964912,8.02720585964912,181176.266666667,44.3060562364816
Radium,24.97,47,0,47,762,"Geological Survey of Canada",CANADA,1.39741854235135,50.38,-116.02,3865555.76,4910300.56,6.58721194227756,93.5,52516583.5294118,52.5165835294118,1033404.09448819,50.819020177602
Takhini,3.78333333333333,47,0,47,370,"Geological Survey of Canada",CANADA,0.57787460680948,60.52,-135.22,585690.266666667,743984.933333333,5.76766800673569,74.7,9959637.66175814,9.95963766175814,322462.702702703,30.886169402793
"St. Leon",2.09596666666667,50,2.9,47.1,849,"Geological Survey of Canada",CANADA,0.32138437153791,50.26,-117.51,350780.981333333,413044.60552,5.54503603872509,72.3,5712926.77067773,5.71292677067773,77854.422614841,73.3796048933604
"Pitt River",0.52966666666667,57.3,9.4,47.9,1479,"Geological Survey of Canada",CANADA,-0.27599735751228,49.44,-122.43,104822.728266667,106152.403466667,5.02045545908475,35.8,2965150.93482309,2.96515093482309,11293.8255578093,262.54619567528
"Portage Brûlé",0.5675,48,0,48,476,"Geological Survey of Canada",CANADA,-0.24603413413484,59.38,-126.57,90227.96,113972.16,4.95534113834119,92,1238827.82608696,1.23882782608696,37598.0672268908,32.9492422738402
Halcyon,2.497,51,2.9,48.1,849,"Geological Survey of Canada",CANADA,0.39741854235135,50.3,-117.55,428345.368,502522.2488,5.6317940749303,72.3,6950515.197787,6.950515197787,92750.7561837456,74.9375582881238
"Eucott Bay",10.896,54,5.3,48.7,2480,"Geological Survey of Canada",CANADA,1.03726709456871,52.29,-127.2,2005910.016,2220177.6768,6.30231144691412,70,31716823.9542857,31.7168239542857,138554.941935484,228.911531492353
"Hot Spring Cove",7.56666666666667,50,0,50,,"Geological Survey of Canada",CANADA,0.87890460247346,49.21,-126.16,1266357.33333333,1582946.66666667,6.10255626966064,54.5,29044892.9663609,29.0448929663609,#DIV/0!,#DIV/0!
"Canoe River",2.62563333333333,52,0,52,806,"Geological Survey of Canada",CANADA,0.41923407726433,52.45,-119.1,461397.2944,571253.793066667,5.66407504352145,74.5,7667836.14854586,7.66783614854586,102731.97617866,74.6392353556094
"Knight Inlet",1.51333333333333,58,5.4,52.6,1246,"Geological Survey of Canada",CANADA,0.17993459813744,51.18,-125.37,303925.76,333051.978666667,5.48276751137225,46.6,7147038.16881259,7.14703816881259,38302.150882825,186.596261674103
"Larsen North",40,53,0,53,486,"Geological Survey of Canada",CANADA,1.60205999132796,60.12,-125.3,7196480,8870080,6.85712012276677,77.1,115046433.203632,115.046433203632,2595555.55555556,44.3243963541389
Miette,26.4833333333333,53.9,0,53.9,605,"Geological Survey of Canada",CANADA,1.42297264682374,53.07,-117.46,4864395.10666667,5972457.77333333,6.68702884292508,108.1,55249378.1066913,55.2493781066913,1380460.16528926,40.0224356311756
"Liard ",5.675,54,0,54,485,"Geological Survey of Canada",CANADA,0.75396586586516,59.25,-126.05,1044744.8,1282186.8,6.01901021821057,92,13936813.0434783,13.9368130434783,369003.711340206,37.7687611673615
"Liard ",72.2616666666667,54,0,54,485,"Geological Survey of Canada",CANADA,1.85890797405721,59.25,-126.05,13303083.7866667,16326511.92,7.12395232640261,92,177462086.086957,177.462086086957,4698647.25773196,37.7687611673615
McArthur,37.8333333333333,54,0,54,283,"Geological Survey of Canada",CANADA,1.57787460680948,63.04,-135.42,6964965.33333333,8547912,6.84291895915488,71.4,119718655.462185,119.718655462185,4215943.46289753,28.3966463297648
