,spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
202,456,Hirschegg,,10.17059,47.3396,spring,,0.0035,,,,,,,,,,,,,,,38.0,76.0,11.0,5.0,,4.0,,20.0,305.0,27.0,,,,,,,,,,,,,,,,,,,0.0035,-2.4559319556497243,,POINT (10.17059 47.3396),0.6504813932293477,5.0,-0.0,1122.0,6.375000045634806,1109.0,169799.7838979797,5.229937133187236,,135700000.0,0.7575089584749684,0.6504813932293477,0.8250310753334816,65.65747369532912,-0.0,360.0029296875,1404.8724388709436,846.9921875,2126.620849609375,4.731595745632517,0.8000000463798642,7.137500032782555,1472.7247890719166,818.0,2320.0,1502.0
204,458,Salzerbad,freie Quelle,15.747,47.9889,spring,,0.00025,,,7.5,,,,,,,,,,,,176.0,125.0,19.0,8.0,,291.0,,137.0,,,,,,,,,,,,,,,,,,,,7.5,0.00025,-3.6020599913279625,0.8750612633917001,POINT (15.747 47.9889),0.42603290729430615,6.0,-0.0,492.0,8.237499956352018,467.0,18518.28782453641,4.267600829930667,,204000000.0,0.32897273410588473,0.1235093050627012,0.4373759899606469,50.586880266331555,-0.0,283.4642028808594,633.2332261331967,388.0,1204.426025390625,7.468638493302562,5.175000040481488,8.44583335518837,683.8372154579142,386.0,1286.0,900.0
205,459,Taßhof,,16.0172,48.0051,spring,,0.002,,,11.0,,,,,,,,,,,,541.8,666.1,53.4,,1.0,815.5,,1624.3,283.0,,,,,,,,,,,,,,,,,,,11.0,0.002,-2.6989700043360187,1.0413926851582251,POINT (16.0172 48.0051),0.07686951644883411,5.0,-0.0,419.0,8.687499997516474,398.0,821069.2991936634,5.914379813620408,,165200000.0,0.2040166395966351,0.07869231452851545,0.4322897136151002,49.94091586668083,-0.0,260.85446166992193,551.6288290584788,381.9285888671875,967.1148071289062,7.907032161067669,6.375000064571697,8.829166722794373,601.1384615384616,356.0,1072.0,716.0
208,462,Brixlegg,Quelle von Bad Mehrn,11.882332,47.425136,spring,,,,,,,,,,,,,,,,,8.0,278.0,52.0,1.0,,8.0,,643.0,300.0,,,,,,,,,,,,,,,,,,,,,,,POINT (11.882332 47.425136),0.4135213398370076,6.0,15.609725952148438,533.3902587890625,8.712499919968346,556.0,,,,118300000.0,0.5740999524450966,0.5740999524450966,0.5740999524450966,71.22512881594956,-0.0,455.09942626953125,1165.5907931351546,504.7928161621094,2018.891845703125,5.6927340002088185,0.5833333979050318,8.850000043710072,1239.0305838739573,513.0,2360.0,1847.0
209,463,Brixlegg,Schloß Neu-Matzen,11.863545,47.418689,spring,,,,,,,,,,,0.12,,,,,,3.1,238.48,38.43,1.56,,3.55,150.0,532.67,244.14,,,,,,,,,,,,,,,,,,,,,,,POINT (11.863545 47.418689),0.4135213398370076,6.0,18.75996398925781,522.2400512695311,8.766666634318732,619.0,,,,118300000.0,0.5740999524450966,0.5740999524450966,0.5740999524450966,71.22512881594956,-0.0,455.09942626953125,1165.5907931351546,504.7928161621094,2018.891845703125,5.6927340002088185,0.5833333979050318,8.850000043710072,1239.0305838739573,513.0,2360.0,1847.0
227,483,Bei Lienz (Iselsberg),,12.8479,46.8411,spring,,2e-05,,,,,,,,,,,,,,,,16.0,,,,7.7,,16.0,88.8,,,,,,,,,,,,,,,,,,,,2e-05,-4.698970004336019,,POINT (12.8479 46.8411),0.6747994874049981,8.0,51.35761642456055,1050.642333984375,6.420833346744377,1115.0,935.3178414926656,2.970959218733226,,147700000.0,0.6592650972696441,0.6486397097694653,0.6698904847698228,76.15543443389447,-0.0,642.3915405273438,1560.0092246427114,631.5739135742188,2902.061767578125,3.317366663293293,-4.2916666675979895,8.158333341280619,1629.4069636840134,640.0,3017.0,2377.0
228,484,Bruggen bei Greifenburg,,13.1906,46.7382,spring,,0.205,,,,,,,,,0.1369,7.2,,,,,,298.4,65.4,,,7.7,,796.9,245.9,,,,,,,,,,,,,,,,,,,,0.205,-0.6882461389442457,,POINT (13.1906 46.7382),0.7157466847613896,6.0,16.444637298583984,606.5553588867188,8.116666659712791,592.0,9038544.135425078,6.9560984830340304,,141100000.0,0.7466600480355553,0.7466600480355553,0.7466600480355553,79.80594015032688,-0.0,480.2758483886719,1328.7217199447307,561.6605834960939,2374.9501953125,4.386370061546837,-1.3541666641831398,8.208333348234495,1409.3475177304965,572.0,2635.0,2063.0
230,486,Bad Gams ob Frauental,Michelquelle,15.2271,46.8659,spring,,1.62037e-05,,,,,,,,,0.0263,6.09,,,,,1.2,40.1,4.54,0.02,0.33,0.7,0.24,13.7,264.9,,4.4,,0.0032,57.38461538,,,,,,,,,,,,,,,1.62037e-05,-4.7903858060679765,,POINT (15.2271 46.8659),0.364797293005489,5.0,6.941718578338622,380.0582885742188,9.333333416531485,388.0,1401.7370548643455,3.146666554050402,,223000000.0,0.4032957777520839,0.364797293005489,0.43000916057247895,42.10085782573411,-0.0,286.9035339355469,697.6482895018241,291.6549987792969,1718.785888671875,7.451337730618228,2.012500002980232,9.39999993145466,741.3529121421519,288.0,1840.0,1552.0
231,487,Bad Gams ob Frauental,Hubertusquelle,15.2271,46.8659,well,4.1,,,,,,,,,,0.016,,,,,,6.21,46.7,7.36,,0.08,3.66,0.25,7.86,238.0,,0.28,,,,,,,,,,,,,,,,,,,,,POINT (15.2271 46.8659),0.364797293005489,5.0,6.941718578338622,380.0582885742188,9.333333416531485,388.0,,,,223000000.0,0.4032957777520839,0.364797293005489,0.43000916057247895,42.10085782573411,-0.0,286.9035339355469,697.6482895018241,291.6549987792969,1718.785888671875,7.451337730618228,2.012500002980232,9.39999993145466,741.3529121421519,288.0,1840.0,1552.0
232,488,Trog,Stainzer Johannesquelle,15.1955,46.9197,spring,,,,,,,,,,,,5.39,,,,,,300.6,34.4,,0.08,144.9,,0.99,1296.0,,0.18,,,,,,,,,,,,,,,,,,,,,POINT (15.1955 46.9197),0.364775028312732,8.0,-0.0,538.0,8.362499983981253,491.0,,,,171400000.0,0.3406897161048237,0.32641117751880344,0.364775028312732,29.14385457161445,-0.0,181.80894470214844,485.4192849637705,290.0,1367.190185546875,8.552654116008362,4.574999965727329,9.362499921272196,508.1704180064309,288.0,1417.0,1129.0
239,514,Bad Hall,Guntherhöhenquelle,14.204312,48.031542,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.204312 48.031542),0.2793406846837504,5.0,-0.0,372.0,8.904166641955575,359.0,,,,246900000.0,0.4572207575455362,0.2793406846837504,0.7161571296780952,25.08821945318649,-0.0,240.91403198242188,459.30482333174376,316.0,1174.90869140625,8.386004272605946,4.93333334972461,9.066666698704164,486.7171672878754,317.0,1524.0,1207.0
