,longitude,latitude,heat_flow,geometry
6602,-98.7166,26.0291,67.0,POINT (-98.7166 26.0291)
6603,-97.3208,25.5999,67.0,POINT (-97.32080000000001 25.5999)
6604,-97.4416,25.8416,66.0,POINT (-97.44159999999999 25.8416)
6605,-97.75,20.6166,66.0,POINT (-97.75 20.6166)
6606,-98.5333,21.6999,66.0,POINT (-98.5333 21.6999)
6607,-98.0541,26.0124,66.0,POINT (-98.05410000000001 26.0124)
6608,-97.5833,20.3166,66.0,POINT (-97.58329999999999 20.3166)
6609,-99.1222,25.3388,66.0,POINT (-99.12220000000001 25.3388)
6610,-98.9749,26.3333,66.0,POINT (-98.97490000000001 26.3333)
6611,-98.0,22.5,66.0,POINT (-98 22.5)
6612,-93.1911,18.1252,66.0,POINT (-93.19110000000001 18.1252)
6613,-97.6166,21.4333,66.0,POINT (-97.61660000000001 21.4333)
6614,-98.2999,21.3666,66.0,POINT (-98.29989999999999 21.3666)
6615,-98.0499,24.1333,66.0,POINT (-98.04989999999999 24.1333)
6616,-97.4666,20.2666,66.0,POINT (-97.4666 20.2666)
6617,-98.0,22.2333,66.0,POINT (-98 22.2333)
6618,-98.0791,25.1166,66.0,POINT (-98.0791 25.1166)
6619,-97.7166,25.5249,66.0,POINT (-97.7166 25.5249)
6620,-98.0333,22.3999,65.0,POINT (-98.0333 22.3999)
6621,-98.3666,21.7166,65.0,POINT (-98.36660000000001 21.7166)
6622,-97.9833,23.6999,65.0,POINT (-97.9833 23.6999)
6623,-92.5599,17.5108,65.0,POINT (-92.5599 17.5108)
6624,-98.3916,25.9249,65.0,POINT (-98.3916 25.9249)
6625,-98.1333,21.5833,65.0,POINT (-98.13330000000001 21.5833)
6626,-99.505,20.8517,65.0,POINT (-99.505 20.8517)
6628,-97.8166,23.2999,65.0,POINT (-97.81659999999999 23.2999)
6629,-98.1166,25.3583,65.0,POINT (-98.11660000000001 25.3583)
6630,-97.4666,20.2666,65.0,POINT (-97.4666 20.2666)
6631,-97.8166,20.4166,65.0,POINT (-97.81659999999999 20.4166)
6632,-97.5833,25.8999,65.0,POINT (-97.58329999999999 25.8999)
6633,-98.7916,25.8166,64.0,POINT (-98.7916 25.8166)
6634,-98.4166,21.0166,64.0,POINT (-98.4166 21.0166)
6635,-98.8999,25.8166,64.0,POINT (-98.8999 25.8166)
6636,-92.5599,17.5108,64.0,POINT (-92.5599 17.5108)
6637,-98.0541,26.0124,64.0,POINT (-98.05410000000001 26.0124)
6638,-97.7111,26.0124,64.0,POINT (-97.7111 26.0124)
6639,-98.1666,20.9833,64.0,POINT (-98.1666 20.9833)
6640,-98.4499,21.2999,64.0,POINT (-98.4499 21.2999)
6641,-97.6999,21.1333,64.0,POINT (-97.6999 21.1333)
6642,-98.1333,21.5833,64.0,POINT (-98.13330000000001 21.5833)
6644,-98.5333,21.3999,64.0,POINT (-98.5333 21.3999)
6645,-98.1333,21.9333,64.0,POINT (-98.13330000000001 21.9333)
6647,-97.6833,20.6999,64.0,POINT (-97.6833 20.6999)
6648,-98.4499,21.0999,63.0,POINT (-98.4499 21.0999)
6649,-98.3499,21.8666,63.0,POINT (-98.34990000000001 21.8666)
6650,-98.4499,22.6166,63.0,POINT (-98.4499 22.6166)
6651,-97.8499,21.7166,63.0,POINT (-97.84990000000001 21.7166)
6652,-102.3333,29.3,63.0,POINT (-102.3333 29.3)
6653,-98.3666,21.7166,63.0,POINT (-98.36660000000001 21.7166)
6654,-99.0333,23.0333,63.0,POINT (-99.0333 23.0333)
6655,-98.0,21.9499,63.0,POINT (-98 21.9499)
6656,-98.8916,25.6583,63.0,POINT (-98.8916 25.6583)
6657,-100.5833,27.4874,63.0,POINT (-100.5833 27.4874)
6658,-98.3999,21.1999,63.0,POINT (-98.3999 21.1999)
6659,-98.0333,21.8333,63.0,POINT (-98.0333 21.8333)
6660,-97.6499,20.6999,63.0,POINT (-97.6499 20.6999)
6661,-97.9666,21.0499,63.0,POINT (-97.9666 21.0499)
6663,-97.8166,23.5166,63.0,POINT (-97.81659999999999 23.5166)
6664,-97.2833,20.3833,63.0,POINT (-97.2833 20.3833)
6665,-97.9666,22.1499,62.0,POINT (-97.9666 22.1499)
6666,-97.6666,25.75,62.0,POINT (-97.6666 25.75)
6667,-92.508,17.6747,62.0,POINT (-92.508 17.6747)
6668,-98.3499,21.8666,62.0,POINT (-98.34990000000001 21.8666)
6669,-97.8166,20.9833,62.0,POINT (-97.81659999999999 20.9833)
6670,-97.7166,20.7833,62.0,POINT (-97.7166 20.7833)
6671,-97.8499,21.7166,62.0,POINT (-97.84990000000001 21.7166)
6672,-98.0666,23.7666,62.0,POINT (-98.06659999999999 23.7666)
6673,-97.6999,21.5666,62.0,POINT (-97.6999 21.5666)
6674,-97.8333,21.0666,62.0,POINT (-97.83329999999999 21.0666)
6675,-97.6999,21.1333,62.0,POINT (-97.6999 21.1333)
6676,-98.9333,26.1888,61.0,POINT (-98.9333 26.1888)
6677,-98.1333,20.8833,61.0,POINT (-98.13330000000001 20.8833)
