spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
71,Bormio - Central Italian Alps,Ostrogoti,10.357291,46.492915999999994,spring,,0.0005,,,,34.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,0.0005,-3.3010299956639813,1.5378190950732742,POINT (10.357291 46.49291599999999),0.5501185658300547,1.0,110.08182525634766,1447.918212890625,4.487499934931596,1347.0,28682.544055192753,4.457617669315537,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
72,Bormio - Central Italian Alps,Palestra,10.3643,46.49119,spring,,7e-05,,,,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.25,-87.33,,,,,,,,,18.5,7e-05,-4.154901959985743,1.2671717284030137,POINT (10.3643 46.49119),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.641666596134503,1580.0,4015.556167726985,3.6037457049937753,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
73,Bormio - Central Italian Alps,Pliniana,10.359989,46.490844,spring,,0.0016699999999999998,,,,36.0,38.0,,,,,7.7,38.0,,,,25.37,257.8,,3.63,,14.2,2.82,753.0,,,,,,,,,,-13.49,-103.2,2.3,,,,,,,,37.0,0.0016699999999999998,-2.7772835288524167,1.568201724066995,POINT (10.359989 46.490844),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.641666596134503,1318.0,95799.69714434378,4.981364136127102,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
74,Bormio - Central Italian Alps,San Carlo,10.36117,46.490823,spring,,7e-05,,,,18.0,19.0,,,,,7.7,19.1,,,,20.47,210.6,,3.13,,12.07,2.43,640.0,,,,,,,,,,-13.34,-98.92,,,,,,,,,18.5,7e-05,-4.154901959985743,1.2671717284030137,POINT (10.36117 46.490823),0.5501185658300547,1.0,47.37314224243164,1317.6268310546875,5.641666596134503,1374.0,4015.556167726985,3.6037457049937753,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
75,Bormio - Central Italian Alps,San Martino,10.360826,46.491966999999995,spring,,0.00417,,,,39.0,40.0,,,,,8.5,33.0,,,,18.23,171.4,,2.68,,10.65,2.07,533.0,,,,,,,,,,,,,,,,,,,,39.5,0.00417,-2.3798639450262424,1.5965970956264601,POINT (10.360826 46.491967),0.5501185658300547,1.0,13.351622581481934,1650.6484375,3.7791667093212404,1391.0,239212.41742030758,5.378783719953276,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
76,Bormio - Central Italian Alps,Bocca D Adda,10.353541,46.504537,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.35,-102.0,6.5,,,,,,,,,,,,POINT (10.353541 46.504537),0.5121655595808787,6.0,68.44983673095703,1492.5501708984375,4.2041666973382235,1517.0,,,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
80,Comano (Lomaso),Terme di Comano,10.886388900000002,46.04222222,spring,,0.0008300000000000001,,,27.0,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0008300000000000001,-3.080921907623926,1.4313637641589874,POINT (10.8863889 46.04222222),0.6011587264916288,6.0,6.491026401519775,495.50897216796875,10.033333379775286,419.0,43570.536109259556,4.639192903701205,,140500000.0,0.5442938585899354,0.48742899068824197,0.6011587264916288,68.15565882269608,-0.0,482.2007751464844,1034.9238641795228,429.0,2560.619140625,7.537269501991782,-0.512500007947286,10.283333477253715,1100.445153570004,393.0,2686.0,2293.0
82,Courmayeur,Thermes de Pré Saint Didier,6.9867,45.7575,spring,,,,,,17.0,36.0,,,,,,,948.0,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,26.5,,,1.423245873936808,POINT (6.9867 45.7575),0.4972797815063527,8.0,399.3951721191406,1091.6048583984375,5.2708333532015486,1261.0,,,,141500000.0,0.4764183794809611,0.46640674906251367,0.4864300098994085,78.60686996273665,-0.0,462.3719787597656,2245.9208004735096,1088.0,3214.409423828125,0.48626934040112496,-5.179166687031587,6.008333310484886,2322.4674910251297,1062.0,3279.0,2217.0
83,Craveggia (Comano),Delle Terme,8.519166667,46.14638889,spring,,0.002,,,27.2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,0.002,-2.6989700043360187,1.4345689040341987,POINT (8.519166667 46.14638889),0.939513476284978,8.0,58.60301971435547,1100.39697265625,7.154166656856735,1292.0,67178.59998088583,4.827230948792465,,169400000.0,0.8516847647214377,0.6712064244489402,0.9443343934303948,99.01545886863214,-0.0,506.5874938964844,1135.8898232865006,326.3218994140625,2055.64599609375,6.662514174636876,1.4291666767870386,10.37083332737287,1227.29799143892,338.0,2334.0,1996.0
84,Craveggia (Comano) - Piemont,Craveggia,8.5416,46.1968,spring,,0.00013000000000000002,,,25.7,,,,,,0.0361,9.34,25.7,310.0,,,63.0,18.2,0.1,1.3,,0.9,2.6,150.0,31.0,,,,0.02,,,,,-11.13,-73.3,,,,,,,,,25.7,0.00013000000000000002,-3.886056647693163,1.4099331233312946,POINT (8.541600000000001 46.1968),0.9254008417809636,8.0,81.68061828613281,1076.382080078125,7.074999979076286,1047.0,4433.201067879548,3.646717429176683,,144400000.0,0.8092450932741305,0.5942869895915682,0.9254008417809636,111.49825812383676,-0.0,555.0778198242188,1360.3176406158063,470.0008544921875,2234.00390625,5.39143907646479,0.43333332644154626,10.141666665673256,1474.638942868247,381.0,2434.0,2053.0
